Selling_Price,Present_Price,Kms_Driven,Owner,no_year,Fuel_Type_Diesel,Fuel_Type_Petrol,Seller_Type_Individual,Transmission_Manual
4.4,7.13,34000,0,8,0,1,0,1
6.25,7.6,7000,0,6,0,1,0,1
5.95,9.4,49000,0,9,1,0,0,1
5.2,9.4,71000,0,10,1,0,0,1
3.75,6.79,35000,0,10,0,1,0,1
5.95,9.4,36000,0,7,0,1,0,1
4.0,4.6,30000,0,9,0,1,0,1
5.25,7.6,17000,0,6,0,1,0,1
12.9,13.6,35934,0,6,1,0,0,1
5.0,9.9,56701,0,9,0,1,0,1
5.4,6.82,31427,0,7,0,1,0,0
7.2,9.9,48000,0,8,1,0,0,1
5.25,9.9,54242,0,9,0,1,0,1
3.0,5.35,53675,0,10,0,1,0,1
10.25,13.6,49562,0,6,0,1,0,1
8.5,13.6,40324,0,7,0,1,0,1
8.4,13.6,25000,0,7,0,1,0,1
3.9,7.0,36054,0,8,0,1,0,1
9.15,13.6,29223,0,6,0,1,0,1
5.5,5.97,5600,0,6,0,1,0,1
4.0,5.8,40023,0,7,0,1,0,1
6.6,7.7,16002,0,6,0,1,0,1
4.0,7.0,40026,0,7,0,1,0,1
6.5,8.7,21200,0,5,0,1,0,1
3.65,7.0,35000,0,8,0,1,0,1
8.35,9.4,19434,0,6,1,0,0,1
4.8,5.8,19000,0,5,0,1,0,1
6.7,10.0,18828,0,7,0,1,0,1
4.1,10.0,69341,0,11,0,1,0,1
3.0,10.0,69562,0,13,0,1,0,1
7.5,10.0,27600,0,7,0,1,0,1
2.25,7.5,61203,0,12,0,1,0,1
5.3,6.8,16500,0,8,0,1,0,1
10.9,13.6,30753,0,6,0,1,0,0
8.65,13.6,24800,0,7,0,1,0,1
9.7,13.6,21780,0,7,0,1,0,1
6.0,8.4,4000,0,6,0,1,0,1
6.25,13.6,40126,0,8,0,1,0,1
5.25,5.9,14465,0,7,0,1,0,1
2.1,7.6,50456,0,16,0,1,0,1
8.25,14.0,63000,0,8,1,0,0,1
8.99,11.8,9010,0,6,0,1,0,1
3.5,5.9,9800,0,9,0,1,0,1
7.4,8.5,15059,0,6,0,1,0,0
5.65,7.9,28569,0,6,0,1,0,1
5.75,7.5,44000,0,7,0,1,0,0
8.4,13.6,34000,0,7,0,1,0,1
10.11,13.6,10980,0,6,0,1,0,1
4.5,6.4,19000,0,8,0,1,0,1
5.4,6.1,31427,0,7,0,1,0,1
6.4,8.4,12000,0,6,0,1,0,1
3.25,9.9,38000,0,12,0,1,0,1
3.75,6.8,33019,0,8,0,1,0,1
8.55,13.09,60076,0,7,1,0,0,1
9.5,11.6,33988,0,6,1,0,0,1
4.0,5.9,60000,0,7,0,1,0,1
3.35,11.0,87934,0,13,0,1,0,1
11.5,12.5,9000,0,5,1,0,0,1
5.3,5.9,5464,0,6,0,1,0,1
